sample_no,V,Cu,Fe
1218,0.604,0.271,0.124
1224,0.613,0.258,0.129
1230,0.617,0.247,0.136
1236,0.624,0.234,0.141
1242,0.626,0.227,0.147
1247,0.627,0.219,0.154
1253,0.626,0.211,0.163
1259,0.625,0.203,0.172
1265,0.623,0.195,0.183
1271,0.619,0.19,0.191
1277,0.611,0.185,0.204
1963,0.557,0.323,0.12
1969,0.567,0.307,0.126
1975,0.576,0.291,0.133
1981,0.582,0.279,0.139
1987,0.59,0.267,0.143
1993,0.594,0.255,0.151
1999,0.597,0.245,0.158
2004,0.597,0.237,0.167
2010,0.6,0.226,0.174
2016,0.598,0.217,0.185
2022,0.595,0.21,0.195
2028,0.591,0.203,0.206
2034,0.588,0.195,0.218
2040,0.575,0.19,0.235
2046,0.569,0.184,0.247
2647,0.521,0.361,0.119
2653,0.531,0.344,0.125
2659,0.543,0.326,0.131
2665,0.55,0.311,0.139
2671,0.554,0.301,0.145
2677,0.563,0.286,0.151
2683,0.57,0.269,0.161
2689,0.569,0.262,0.169
2694,0.572,0.252,0.176
2700,0.571,0.243,0.186
2706,0.57,0.233,0.197
2712,0.569,0.223,0.208
2718,0.567,0.214,0.219
2724,0.56,0.208,0.232
2730,0.555,0.198,0.248
2736,0.545,0.194,0.261
2742,0.537,0.185,0.278
3528,0.475,0.406,0.119
3534,0.488,0.387,0.125
3540,0.499,0.369,0.132
3546,0.507,0.353,0.139
3552,0.519,0.336,0.145
3558,0.525,0.321,0.153
3564,0.529,0.309,0.162
3570,0.535,0.295,0.17
3576,0.54,0.28,0.18
3581,0.54,0.272,0.188
3587,0.542,0.26,0.199
3593,0.54,0.25,0.21
3599,0.538,0.239,0.223
3605,0.535,0.232,0.233
3611,0.532,0.22,0.248
3617,0.523,0.213,0.264
3623,0.515,0.206,0.279
3629,0.508,0.196,0.296
3635,0.493,0.193,0.314
4464,0.429,0.454,0.117
4470,0.44,0.436,0.124
4476,0.452,0.418,0.13
4482,0.465,0.398,0.137
4488,0.477,0.377,0.145
4494,0.487,0.36,0.153
4500,0.493,0.346,0.161
4506,0.497,0.331,0.172
4512,0.501,0.317,0.182
4518,0.507,0.304,0.189
4523,0.51,0.291,0.199
4529,0.511,0.278,0.211
4535,0.512,0.265,0.223
4541,0.507,0.258,0.235
4547,0.503,0.246,0.25
4553,0.5,0.237,0.264
4559,0.492,0.227,0.281
4565,0.484,0.217,0.298
4571,0.478,0.208,0.313
4577,0.467,0.202,0.331
4582,0.457,0.196,0.347
5448,0.38,0.504,0.116
5454,0.394,0.484,0.122
5460,0.408,0.464,0.128
5466,0.423,0.443,0.135
5472,0.435,0.421,0.144
5478,0.444,0.404,0.152
5484,0.452,0.386,0.162
5490,0.459,0.37,0.17
5496,0.467,0.352,0.181
5502,0.469,0.338,0.193
5508,0.475,0.324,0.201
5513,0.478,0.31,0.213
5519,0.477,0.298,0.225
5525,0.479,0.284,0.238
5531,0.477,0.273,0.251
5537,0.474,0.26,0.267
5543,0.471,0.249,0.281
5549,0.465,0.24,0.295
5555,0.456,0.231,0.314
5561,0.45,0.218,0.332
5567,0.438,0.211,0.351
5572,0.429,0.208,0.363
5578,0.416,0.196,0.388
6472,0.335,0.553,0.112
6477,0.348,0.533,0.12
6483,0.365,0.511,0.124
6489,0.376,0.491,0.132
6495,0.388,0.471,0.141
6501,0.401,0.449,0.15
6507,0.409,0.432,0.159
6513,0.42,0.413,0.167
6519,0.428,0.394,0.179
6525,0.433,0.374,0.193
6531,0.438,0.359,0.203
6537,0.44,0.344,0.216
6542,0.446,0.329,0.225
6548,0.447,0.314,0.239
6554,0.446,0.302,0.251
6560,0.444,0.29,0.266
6566,0.442,0.276,0.281
6572,0.44,0.262,0.298
6578,0.433,0.254,0.313
6584,0.429,0.24,0.331
6590,0.418,0.232,0.35
6596,0.41,0.221,0.37
6601,0.4,0.215,0.385
6607,0.39,0.206,0.405
6613,0.377,0.197,0.426
7536,0.308,0.579,0.113
7541,0.321,0.561,0.118
7547,0.334,0.537,0.129
7553,0.344,0.519,0.137
7559,0.357,0.497,0.145
7565,0.367,0.478,0.155
7571,0.381,0.455,0.164
7577,0.39,0.436,0.174
7583,0.395,0.417,0.187
7589,0.403,0.398,0.199
