idx, formula, icsd, V.MFrac, Fe.MFrac, Cu.MFrac, OM.Ratio
0, (VO)2(V2O7), 04-017-0339, 1.0000, 0.0000, 0.0000, 2.2500
1, Cu(Fe2O4), 01-074-8585, 0.0000, 0.6667, 0.3333, 1.3333
2, Cu0.261(V2O5), 01-079-0796, 0.8846, 0.0000, 0.1154, 2.2114
3, Cu0.32Fe2.68O4, 04-008-4424, 0.0000, 0.8933, 0.1067, 1.3333
4, Cu0.59V2O5, 04-009-3572, 0.7722, 0.0000, 0.2278, 1.9305
5, Cu0.64V2O5, 04-015-4536, 0.7576, 0.0000, 0.2424, 1.8939
6, Cu0.85Fe0.10O, 04-018-6919, 0.0000, 0.1053, 0.8947, 1.0526
7, Cu0.86Fe2.14O4, 01-073-2315, 0.0000, 0.7133, 0.2867, 1.3333
8, Cu1.3V9O22, 00-046-0362, 0.8738, 0.0000, 0.1262, 2.1359
9, Cu1.5Fe2(VO4)3, 04-009-8656, 0.4615, 0.3077, 0.2308, 1.8462
10, Cu1.5V12O29, 04-013-7743, 0.8889, 0.0000, 0.1111, 2.1481
11, Cu1.82V4O11, 04-012-3630, 0.6873, 0.0000, 0.3127, 1.8900
12, Cu1.98(V1.96O6.92), 01-073-4321, 0.4975, 0.0000, 0.5025, 1.7563
13, Cu11(VO4)6O2, 04-012-8670, 0.3529, 0.0000, 0.6471, 1.5294
14, Cu2(V2O7), 01-078-2581, 0.5000, 0.0000, 0.5000, 1.7500
15, Cu2(V2O7), 04-011-9703, 0.5000, 0.0000, 0.5000, 1.7500
16, Cu2(V2O7), 04-012-0620, 0.5000, 0.0000, 0.5000, 1.7500
17, Cu2(V2O7), 04-014-0715, 0.5000, 0.0000, 0.5000, 1.7500
18, Cu2.5Fe4.333(VO4)6, 00-052-0636, 0.4675, 0.3376, 0.1948, 1.8702
19, Cu2O, 00-035-1091, 0.0000, 0.0000, 1.0000, 0.5000
20, Cu2O, 04-002-0908, 0.0000, 0.0000, 1.0000, 0.5000
21, Cu2O, 04-007-9767, 0.0000, 0.0000, 1.0000, 0.5000
22, Cu2O, 04-020-7578, 0.0000, 0.0000, 1.0000, 0.5000
23, Cu3(VO4)2, 04-010-1734, 0.4000, 0.0000, 0.6000, 1.6000
24, Cu3(VO4)2, 04-013-2998, 0.4000, 0.0000, 0.6000, 1.6000
25, Cu3(VO4), 04-016-3668, 0.2500, 0.0000, 0.7500, 1.0000
26, Cu3Fe4(VO4)6, 04-017-0735, 0.4615, 0.3077, 0.2308, 1.8462
27, Cu4Fe3.333(VO4)6, 00-053-0905, 0.4500, 0.2500, 0.3000, 1.8000
28, Cu4FeV3O13, 00-000-0000, 0.3750, 0.1250, 0.5000, 1.6250
29, Cu4O3, 04-007-2184, 0.0000, 0.0000, 1.0000, 0.7500
30, Cu4V2.15O9.38, 01-070-1696, 0.3496, 0.0000, 0.6504, 1.5252
31, Cu5V2O10, 04-011-1618, 0.2857, 0.0000, 0.7143, 1.4286
32, Cu6.5V6O18.5, 04-017-3174, 0.4800, 0.0000, 0.5200, 1.4800
33, Cu64O, 04-007-0694, 0.0000, 0.0000, 1.0000, 0.0156
34, Cu6V6Fe0.9O19, 04-011-5444, 0.4651, 0.0698, 0.4651, 1.4729
35, Cu8O, 04-007-0691, 0.0000, 0.0000, 1.0000, 0.1250
36, CuFe2O4, 00-034-0425, 0.0000, 0.6667, 0.3333, 1.3333
37, CuFe5O8, 01-073-2314, 0.0000, 0.8333, 0.1667, 1.3333
38, CuFeO2, 00-021-0290, 0.0000, 0.5000, 0.5000, 1.0000
39, CuFeO2, 04-009-4371, 0.0000, 0.5000, 0.5000, 1.0000
40, CuFeO2, 04-013-7126, 0.0000, 0.5000, 0.5000, 1.0000
41, CuFeO2, 04-015-2087, 0.0000, 0.5000, 0.5000, 1.0000
42, CuO0.96, 04-008-8053, 0.0000, 0.0000, 1.0000, 0.9600
43, CuO, 00-044-0706, 0.0000, 0.0000, 1.0000, 1.0000
44, CuO, 01-078-0428, 0.0000, 0.0000, 1.0000, 1.0000
45, CuO, 04-007-1375, 0.0000, 0.0000, 1.0000, 1.0000
46, CuV0.5Fe0.5O2, 04-015-2084, 0.2500, 0.2500, 0.5000, 1.0000
47, CuV2O5, 00-043-0080, 0.6667, 0.0000, 0.3333, 1.6667
48, CuV2O6, 00-027-1136, 0.6667, 0.0000, 0.3333, 2.0000
49, CuV2O6, 00-030-0514, 0.6667, 0.0000, 0.3333, 2.0000
50, CuV2O6, 00-045-1054, 0.6667, 0.0000, 0.3333, 2.0000
